molecule_chembl_id,canonical_smiles,bioactivity_class,MolWt,MolLogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1214324,CSc1cc(Oc2ccnc3ncc(=O)[nH]c23)ccc1NC(=O)Nc1cc(C(C)(C)C)nn1-c1ccccc1,active,541.6370000000003,5.959500000000004,3,8,6.346787486224656
CHEMBL1214325,O=C(Nc1cc(C(F)(F)F)ccc1F)Nc1ccc(Oc2ccnc3ncc(=O)[nH]c23)c2ccccc12,active,509.4190000000002,6.065500000000004,3,5,7.075720713938118
CHEMBL1214326,Cc1nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c4ccccc34)c2[nH]c1=O,active,523.4460000000001,6.373920000000002,3,5,6.966576244513051
CHEMBL1214378,Nc1nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c4ccccc34)c2[nH]c1=O,active,524.4340000000001,5.647700000000002,4,6,7.366531544420414
CHEMBL1214379,O=C(Nc1cc(C(F)(F)F)ccc1F)Nc1ccc(Oc2ccnc3nc(C(F)(F)F)c(=O)[nH]c23)c2ccccc12,intermediate,577.4160000000002,7.084300000000003,3,5,5.966576244513051
CHEMBL1214380,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4ncc(=O)[nH]c34)c3ccccc23)n(-c2ccccc2)n1,active,545.6030000000002,6.390800000000005,3,7,6.578396073130169
CHEMBL1214381,Cc1nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c4ccccc34)c2[nH]c1=O,intermediate,559.6300000000002,6.699220000000005,3,7,5.522878745280337
CHEMBL1214382,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4nc(N)c(=O)[nH]c34)c3ccccc23)n(-c2ccccc2)n1,active,560.6180000000003,5.973000000000004,4,8,6.392544976785332
CHEMBL1214383,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4nc(C)c(=O)[nH]c34)c3ccccc23)cc1,inactive,573.6570000000004,7.0076400000000065,3,7,4.769551078621726
CHEMBL1214384,CN(C)c1nc2c(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c(F)c3)ccnc2[nH]1,intermediate,528.5920000000002,6.082500000000005,3,7,5.777283528852417
CHEMBL1214385,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]nnc34)cc2F)cc1,intermediate,500.53800000000024,5.719920000000005,3,7,5.863279432843593
CHEMBL1214438,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(S)nc34)cc2F)cc1,active,531.6170000000003,6.613620000000005,4,7,6.508638306165727
CHEMBL1214439,O=C1CNc2nccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c2N1,active,461.3750000000001,5.039800000000001,4,5,7.267606240177032
CHEMBL1214440,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4c3NCC(=O)N4)cc2F)cc1,active,529.5760000000004,5.812620000000004,4,7,7.292429823902063
CHEMBL1214441,O=C(Nc1cccc(Oc2ccnc3[nH]c(=O)cnc23)c1)Nc1cc(C(F)(F)F)ccc1F,active,459.3590000000001,4.912300000000001,3,5,7.3979400086720375
CHEMBL1214504,O=C(Nc1cccc(Oc2ccnc3ncc(=O)[nH]c23)c1)Nc1cc(C(F)(F)F)ccc1F,active,459.3590000000001,4.912300000000001,3,5,6.978810700930062
CHEMBL1214505,CC(C)(C)c1cc(NC(=O)Nc2cccc(Oc3ccnc4[nH]c(=O)cnc34)c2)n(-c2ccccc2)n1,active,495.5430000000002,5.237600000000004,3,7,7.236572006437063
CHEMBL1214506,CC(C)(C)c1cc(NC(=O)Nc2cccc(Oc3ccnc4ncc(=O)[nH]c34)c2)n(-c2ccccc2)n1,active,495.5430000000002,5.237600000000004,3,7,6.1938200260161125
